Perfil,Link do perfil,Perfil Antivax ou provax?,Perfil Conspiracionista?,Perfil Negacionista?,Categoria (profissão),Categoria (profissão) do perfil?,Link do post,Conteúdo do post,Post Antivax ou provax?,Post Conspiracionista?,Post Negacionista?
dr.felipebtrofino,https://www.instagram.com/dr.felipebtrofino?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,0,1,Médico clínico; Neurocientista; Terapeuta; Palestrante; Professor,1,https://www.instagram.com/reel/DGdfom_xuHu/?utm_source=ig_web_copy_link,38 mil óbitos  de crianças registrados nos EUA devido às vacinas ,1,1,1
drjosenasseroficial,https://www.instagram.com/drjosenasseroficial?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,Médico neurocirurgião; Escritor,1,https://www.instagram.com/reel/DGDTGnnO05r/?utm_source=ig_web_copy_link,Detox da vacina através de ivermectina,1,0,1
drdavirodrigues,https://www.instagram.com/drdavirodrigues?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,0,1,Médico cirurgião geral,1,https://www.instagram.com/reel/DEuxwjaJ2dh/?utm_source=ig_web_copy_link,Alemanha reconhece que covid nunca existiu,1,1,1
zeballos59,https://www.instagram.com/zeballos59?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,0,1,Médico clínico geral,1,https://www.instagram.com/reel/DFiTTxWuTaG/?utm_source=ig_web_copy_link,Mortos pela vacina na Austrália ,1,0,1
drajulianavarao,https://www.instagram.com/drajulianavarao?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,Médica cirurgiã dentista; Terapeuta neural,1,https://www.instagram.com/reel/DEVPVhRTV_s/?utm_source=ig_web_copy_link, A mídia está controlando a população: a vacinação contra covid como prova disso,1,1,1
dramariaemiliagadelha,https://www.instagram.com/dramariaemiliagadelha?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,0,1,Médica otorrinolaringologista,1,https://www.instagram.com/reel/DFjNqHLCcx6/?utm_source=ig_web_copy_link,Os humanos estão sendo hackeados e a vacinação está sendo uma das causas,1,1,1
drcassioguimaraesdf,https://www.instagram.com/drcassioguimaraesdf?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,0,1,Médico cardiologista,1,https://www.instagram.com/reel/DGcZ_NXOa8S/?utm_source=ig_web_copy_link,Câncer sendo causados pela vacina ,1,1,1
drmarcosfalcao,https://www.instagram.com/drmarcosfalcao/,1,1,1,Médico,1,https://www.instagram.com/reel/DF_E5ReNt08/?utm_source=ig_web_copy_link,BBC admite que HIv está sendo causado pela vacina da covid-19,1,1,1
Dr Paulo Porto de Melo | Neurocirurgia - Neurologia ,https://www.instagram.com/ppmelo/?hl=pt,1,0,1,Médico neurologista e neurocirurgião,1,https://www.instagram.com/reel/DE97L-UuZzs/?utm_source=ig_web_copy_link,"Substâncias danosas na vacina, com ênfase no alumínio  ",1,1,1
allanguilherme777,https://www.instagram.com/allanguilherme777?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/reel/DCFq2anN25u/?utm_source=ig_web_copy_link,"Mal-estar frequente deve-se a pulverização aérea de pneumonia, covid, gripe",1,1,0
zumbizando.despertando,https://www.instagram.com/zumbizando.despertando?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/reel/DEjfKs4O5Hh/?utm_source=ig_web_copy_link,"Alexa responde que manchas brancas no céu são substâncias tóxicas, inclusive as presentes nas vacinas, pulverizadas por aviões",1,1,1
hipnose.coletiva,https://www.instagram.com/hipnose.coletiva?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,1,1,,,https://www.instagram.com/p/DFiLPL6RkhK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Preocupação com covid19 pode levar ao cancelamento do carnaval em algumas cidades,0,0,0
